tanggal;review
29/11/2025 19:03;Mau ajukan transaksi gagal tapi mau pengaduan ga kebaca transaksinya malahan saldo terpotong,tolong gimana ini caranya mau pengaduan
29/11/2025 18:49;verikasi mulu hadeh ggl muka2 sendiri eror mulu
29/11/2025 18:44;mudah di mengerti 
29/11/2025 18:43;nyaman
29/11/2025 18:13;bagus
29/11/2025 18:13;cepat, mudah, dan tidak banyak tempat... oke lah pokoknya... mantappp
29/11/2025 18:13;sangat bagus
29/11/2025 18:06;good
29/11/2025 18:02;mempermudah ğŸ˜ƒğŸ‘
28/11/2025 23:55;jos
28/11/2025 23:51;sangat membantu,memudahkan saat pembayaran
28/11/2025 23:36;mantaapp Josjiss SatSet
28/11/2025 23:30;SALDO SAYA HILANGG!! Baru setor 100ribu, pas bayar pake QRIS brimo pembayaran gagal 3 kali, kalo pembayaran gagal harusnya saldo saya tidak terpotong dong? Atau refund otomatis! Anehnya setelah beberapa menit notifikasi pembayaran gagal saldo 100ribu di rekening saya hilang padahal gak ada notifikasi transaksi sukses sama sekali, saldo malah berkurang Setelah cek di youtube ternyata tidak cuma saya yg kena. Bahkan ada yg uangnya tidak dikembalikan sama sekali parah. SENGAJA BINTANG 5 BIAR KE UP!
28/11/2025 23:23;Baru pertama kali, dan buat tf sngt lancar sngt memuaskan...
28/11/2025 22:59;lancar jaya
28/11/2025 22:48;mau tanya kenapa ya apk brimo saya tidak bisa d buka, smpai saya udh uninstall saya download lagi juga msih sama tidak bisa sama skali, kndala nya dmna?? apa kah mmg gangguan atau gimana ini, ini sudah hari ke 3 tidak bisa d gunakan sama sekali, mohon d tanggapi
28/11/2025 22:43;Mudah dan Menyenangkan
28/11/2025 22:40;ok
28/11/2025 22:31;Sangat memudahkan bertransaksi kapanpun dan dimanapunâ¤ï¸
28/11/2025 22:24;ğŸ‘ğŸ‘ğŸ‘
28/11/2025 22:18;sangat membantu sekali
28/11/2025 22:16;bagus, baik, mudah
28/11/2025 21:34;mantap
28/11/2025 19:01;sangat bagus
28/11/2025 18:59;sangat memuaskan
28/11/2025 18:50;mantap
28/11/2025 18:35;update agar bisa ubah nomor hp
28/11/2025 18:10;bayar pake qris di brimo gagal terus tapi saldo tetap berkurang call center nya juga nggak respon sama sekali
28/11/2025 17:55;sering Nge bug tadi siang orang transfer ke sya sebanyak 280.000 terus notif nya masuk tapi pas cek saldo.. saldo sya tidak bertambah dan uang sudh sya berikan kepada orng tersebut sya kira kalau notif masuk itu uang juga masuk dan ternyata tidak ğŸ˜­ğŸ˜­ğŸ˜­
27/11/2025 23:55;sangat puas
27/11/2025 23:52;terimakasih
27/11/2025 23:34;bagus sangat membantu
27/11/2025 23:33;bagus memudahkan transaksi.. semoga kedepannya lebih baik lagi
27/11/2025 23:26;sangat membantu
27/11/2025 23:25;brimo sudah banyak membantu saya dalam mwngatasi pembayaran listrik transfer uang ke bank lain juga dalam pembayaran belanja di quris
27/11/2025 23:25;Sangat Baik
27/11/2025 23:21;sangat membantu
27/11/2025 23:20;cara buka rekening baru
27/11/2025 22:35;mantap
27/11/2025 22:01;sangat mudah dan semua pembayaran ada di sini
27/11/2025 21:49;sangatt baik
27/11/2025 21:40;lebih mudah bertransaksi
27/11/2025 21:10;sang simple
27/11/2025 20:53;seneng banget cepat aman dan yaman.
27/11/2025 20:42;bagus .
27/11/2025 19:58;jelek bgt, setiap masuk ke aplikasi nya harus pake username sma pasword buat kita pelupa ini susah udh gitu teken lupa pasword salah data skli malah gbs lgi, nyesel
27/11/2025 18:30;Bayar QRis GAGAL tapi Saldo Kepotong Bisa kerja GK sih,SELAMA DUIT SAYA BELUM BALIK TETAP BINTANG 0 CAMKAN ITU!!!
26/11/2025 23:53;okelah
26/11/2025 23:52;siipp
26/11/2025 23:49;simpel
26/11/2025 23:24;puas
26/11/2025 23:18;bagaimana menghapus akun brimo
26/11/2025 23:08;sangat mudah bertransaksi
26/11/2025 23:05;Bagus bisa untuk bayar pulsa hp, paket internet, kirim uang dan bayar listrik cukup dari rumah saja
26/11/2025 22:34;semoga sangat berguna
26/11/2025 22:18;sangat memudahkan
26/11/2025 22:02;top
26/11/2025 21:46;ok
26/11/2025 21:24;kadang masih suka error
26/11/2025 21:12;kenapa selalu silahkan lewati panggilan telpon setiap kali masuk brimo, pangggilan nya pun gk ada
26/11/2025 21:07;tolong tambahkan kabupaten bombana pada fotur pembayaran PDAM..PDAM kabupaten Bombana tidak terdaftar d fitur pembayar PDAM
26/11/2025 21:01;sangat bgus dan terpercaya
26/11/2025 20:10;pakai brimo lebih mudah
26/11/2025 19:12;MANTAB....RESPONSIF....VALID.....PROFESIONAL
26/11/2025 17:35;Ok.. sangat membantu pas butuh sak wayah2
26/11/2025 17:33;ok mantap
26/11/2025 17:03;sering ngebug, bug saldo kosong, sehingga ketika ingin transaksi untuk keperluan darurat jadi tidak bisa
25/11/2025 23:53;bank favorit sayağŸ˜
25/11/2025 23:45;ok
25/11/2025 23:44;jos jis
25/11/2025 23:40;top
25/11/2025 23:24;sangat membantu ğŸ™
25/11/2025 23:22;mantab
25/11/2025 23:14;ok
25/11/2025 23:13;baik
25/11/2025 23:10;Sangat membantu, dan mudah pakai BRIMO THE BEAST ğŸ‘
25/11/2025 23:08;susah bgt mau daftar brimo sudah brpa x bikin ga mau bisa ,,,masa iya harus ke bang cuma bikin brimo,,,
25/11/2025 23:05;sudah lumayan perbaikan bagus
25/11/2025 23:03;mudab penggunaannya
25/11/2025 22:48;Alhamdulillah semenjak ada BRI mo jadi lebih mudah ğŸ¥°
25/11/2025 22:40;aman dan cepat trima kasih brimo
25/11/2025 22:33;bagus
25/11/2025 22:12;jelek bgt, nyesel
25/11/2025 22:11;masa tiap beberapa bulan sekali login nya di persulit terus
25/11/2025 21:58;"bank terburuk di indonesia.pelayanan terburuk di Indonesia,dan sistem bank paling jelek di indonesia.saldo saya tiba"" berkurang tanpa jelas dan di mutasi juga tidak ada notifikasi nya.buat pelaporan ke call BRI tidak ada solusi dan penyelesaian.stop penggunaan dan beralih ke bank lain lebih baik."
25/11/2025 21:46;BRI memang bagus
25/11/2025 21:44;kenapa fast menu di atas jadi selalu berubah sendiri
24/11/2025 23:29;praktis, cepat, mudah dan lengkap fiturnya juga friendly
24/11/2025 23:04;App Cepat
24/11/2025 23:04;sangat bagus
24/11/2025 23:04;sangat membantu
24/11/2025 23:02;aplikasinya sangat membantu...keren
24/11/2025 22:53;jos aplikasinya
24/11/2025 22:46;sangat cepat dan mudah sangat bermanfaat
24/11/2025 22:37;sangat bagus
24/11/2025 22:37;very goog
24/11/2025 22:33;Bagus
24/11/2025 22:28;mantap
24/11/2025 22:27;sangat memuaskan
24/11/2025 22:26;gampang untuk transaksi dbrimo cepat
24/11/2025 22:07;good
24/11/2025 21:44;aplikasi yg sangat membantu untuk semua yang punya tabungan di bri
24/11/2025 21:15;Ini Apk Ngaconya... untuk bagian menu History kalo di Scroll kebawah sering scroll naik sendiri.. mau ngecek History aja susah.
24/11/2025 20:42;apk bego bank bumn kek bank swasta
24/11/2025 20:34;oke
24/11/2025 20:15;tolong dong saldo saya di kembalikan,masak utang udah lunas 6bulan yg lalu ,saldo masih di sedot,tolong dicek,nonaktifkan autodebit
24/11/2025 19:41;gokilll
23/11/2025 23:49;keren bagus
23/11/2025 23:47;semoga lebih aman untuk BRIMo.. semakin bagus... sangat mudah sekali transaksi...
23/11/2025 23:43;sya lupa pasword nya dan user nama bos ku sudh gk bisa
23/11/2025 23:27;apik
23/11/2025 23:16;kok tidak bisa dibuka ya aplikasinyağŸ™
23/11/2025 23:10;sangat membantu dan mudah
23/11/2025 22:51;pelayannanya cepat dan terpercaya
23/11/2025 22:40;Makasih
23/11/2025 22:12;bagus dan mudah
23/11/2025 22:07;oke
23/11/2025 21:53;susah mau buka akun brimo
23/11/2025 21:36;ok
23/11/2025 21:24;masa uang yang harusnya masih 42k malah sisa 36k 6k uang saya kemana woy, mana nggak ada transaksi keluar nya lagi. walaupun 6k itu berharga buat saya beli makan
23/11/2025 20:48;tolong perbaiki dong login masuknya padahal username betul paspor juga betul kenapa gabisa login, tolong di perbaiki dong jangan cuma mau ambil uang kita aja.
23/11/2025 20:21;sangat membantu
23/11/2025 19:13;sangat tidak nyaman pengaduan lewat wa gak di respon
23/11/2025 19:01;hati hati sama BRi Saya keseringan saldo di potong tapi uang tidak keluar di atm
23/11/2025 18:44;Gatot gacor
23/11/2025 18:33;baik
23/11/2025 18:26;oke aja
22/11/2025 23:45;brimo the best
22/11/2025 23:43;sangat baguss
22/11/2025 23:31;sangat membantu
22/11/2025 23:25;Fiture keren akses mudah
22/11/2025 23:22;ğŸ˜
22/11/2025 22:40;sejauh ini sangat baik.
22/11/2025 22:37;good joobğŸ«°
22/11/2025 22:25;saya puas menggunakan aplikasi ini proses transfer cepat
22/11/2025 21:40;kenapa saya harus pakai data kan Wi-Fi nya bisa digunakan harus nyelakan data ga bisa login parah
22/11/2025 21:39;Masya Allah
22/11/2025 21:28;bagus, memudahkan transaksi..
22/11/2025 20:31;ribet bnr cmn mau daftar account doang juga cihğŸ‘ğŸ»
22/11/2025 20:10;mantap
22/11/2025 19:59;MANTAP
22/11/2025 19:36;alhamdulillah cepat dan mudah transaksi jadinya terimakasih brimo
22/11/2025 17:30;"apalah ini verif wajah kga bisa"" udah sejam nii ah tolong lah"
22/11/2025 16:57;top up dana susahnya minta ampun
22/11/2025 15:51;babi daftar selelu salah no Mulu padahal udah bener no nya,,giliran KTP di foto masuk,awas aja kalau sampe data saya menyebar ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ nyesel dowload apk ni kaga guna ğŸ˜¡ğŸ˜¡ğŸ˜¡
22/11/2025 15:48;ya sangat membantu walo sering eror
21/11/2025 23:51;menjadi lebih praktis piturenya banyak
21/11/2025 23:42;cepat dan aman
21/11/2025 23:21;sangat memuaskan
21/11/2025 23:19;mudah dan gampang..mantap
21/11/2025 22:50;bagus
21/11/2025 22:46;ğŸ‘
21/11/2025 22:46;brimo emang okeh
21/11/2025 22:38;sangat mudah dah di gunakan
21/11/2025 22:25;aplikasinya aman
21/11/2025 21:13;disuruhnya masuk ke brimo pakai kartu dan data seluler yg sama sedangkan nomor tersebut sudah hangus atau tidak aktif. berakhir dengan gagal masuk ke akun brimo padahal perlu sekali Krn uang satu satunya disitu
21/11/2025 20:13;ok
21/11/2025 19:27;oke
21/11/2025 19:26;makan sana uang gue gocap . transaksi gagal harusnya mah balik dan di cari semua transaksi pada gagal tp uang ke potong kn lucu . begini kah kelasnya Bank Nasional bobrok syukur gak pernah naro uang gede di sini
21/11/2025 19:03;praktis dan mempermudah segala transaksi
21/11/2025 18:50;top pokona
21/11/2025 18:35;brimo memudahkan kita dalam transaksi..mantap
21/11/2025 18:16;Dengan Brimo segalanya menjadi lebih mudah
21/11/2025 18:12;simpel
21/11/2025 17:47;jadi Ga, ribet bayar angsuran bulanan bayar lewat aplikasi ini semuga kedepan nya akan lebih berkembang lagi dan lebih bagus lagi
21/11/2025 17:08;mantaaaf
20/11/2025 23:53;ini apk sangat mudah di gunakan, semua pembyaran bisa di transaksikan di brimo, narik uang gampang tanpa kartu ATM , makin senang pakai BRIMO
20/11/2025 23:45;aplikasi yang bagus memudahkan transaksi
20/11/2025 23:45;mau nabung, ditaruh BRI malah habis. ğŸ˜Œ
20/11/2025 23:40;bagud
20/11/2025 23:32;transaksi lebih mudah
20/11/2025 23:26;nice
20/11/2025 23:26;sangat membantu
20/11/2025 23:24;mudah dan cepat , menghemat waktu untuk semua transaksi ,yuk pakai brimo
20/11/2025 23:19;kenapa saya setiap mau bayar pake Qris sellu gabisa ya kaya ga kebaca gituu?aneh apanya yang salah ya,mohon dijawab dong,udh muak bgt soalnya
20/11/2025 23:00;singkat, padat, cepat
20/11/2025 22:48;lancar, kerenğŸ‘
20/11/2025 22:32;mantap
20/11/2025 22:32;saldo sering ketarik sendiri ilang ntah kemana pas dicek mutasi ga ke deteksi
20/11/2025 22:14;mudah dan cepat
20/11/2025 22:05;mantab
20/11/2025 21:48;mantap apk nya
20/11/2025 21:41;bagus ğŸ˜
20/11/2025 20:43;good
20/11/2025 20:26;Untuk sampai saat ini sy aman memakai aplikasi ini...
19/11/2025 23:50;ngga bisa transaksi saat dibutuhkan karna saldo tertahan, padahal pembayaran tagihan lancar dan tepat waktu, tapi saldo yang tersimpan tidak bisa digunakan karna alasan saldo tertahan
19/11/2025 23:46;bagus
19/11/2025 23:34;aplikasi yang sangat jelek ,menu daftar aja harus ulang2.sangat tidak bermutu mending aplikasi sebelah ,,mau daftar aja harus nunggu berulang ulang sangat tidak bermutu !!!!!!!
19/11/2025 23:32;untuk trasaksi mudah dan cepat sangat membantu trimakasih..
19/11/2025 23:15;cepat
19/11/2025 23:12;mudah dan praktis
19/11/2025 22:59;wow
19/11/2025 22:47;mantab fitur nya tingkatkan terus
19/11/2025 22:31;ga bisa daftar
19/11/2025 22:29;sangat membantu
19/11/2025 22:20;mantap brimo mah
19/11/2025 22:04;cepat prosesnya
19/11/2025 21:43;oke
19/11/2025 21:42;user friendly proses cpt
19/11/2025 21:16;ok
19/11/2025 20:59;"gblk masak ganti nomor telepon harus repot"" ke kantornya kata mobile jadi nggak guna menperibetin aja kalah sama kalau buat rekening di luar negeri"
19/11/2025 20:08;apalah setelah updet saldo hilang 150 ribu padahal biasa yh tidak hilang ini hilang saya merasa kecewA
19/11/2025 18:50;good
19/11/2025 18:40;sangat membantu
19/11/2025 18:29;bagus ğŸ‘
18/11/2025 23:59;mudah n cepat
18/11/2025 23:49;mantap
18/11/2025 23:41;aplikasinya sangat membantu
18/11/2025 23:37;Saya melakukan pembayaran untuk pembelian tiket kereta dengan menggunakan pembayaran QRIS BRI tetapi transaksi gagal, saldo sudah kepotong tetapi pembayaran masih dalam proses terus. sudah sehari saldo belum kembali dan sudah pelaporan pengaduan tetapi belum ada tanggapan. mohon untuk segera diproses...
18/11/2025 23:30;mantap
18/11/2025 23:28;Versi 2.89.0 sangat lemot, loading terus g bisa masuk
18/11/2025 23:13;mudah dan merakyat
18/11/2025 23:11;mantul
18/11/2025 23:07;dengan adanya aplikasi brimo jadi memudahkan saya dalam transaksi apa punğŸ˜ makasih brimo sukses selalu
18/11/2025 22:56;ok uyttu9
18/11/2025 21:46;tingkatkan
18/11/2025 21:31;terbaik
18/11/2025 21:20;sangat membantu
18/11/2025 21:18;Bagus cepat
18/11/2025 19:45;sangat mudah di gunakan
18/11/2025 19:43;bagus, aman,
18/11/2025 19:39;cepat jarang kali gangguan,hanya seeing susah jika terjadi trouble harus ke bank jika keblokir
18/11/2025 19:17;saya senang BRImo memiliki akun online,yang lebih mudah masyarakat mengakses kemudahan yang diberikan kepada pengguna medsos FB, Instagram,dan tiktok dll.
18/11/2025 18:18;d hari senin sya melakukan transaksi pembayaran menggunakan Qris pertama GAGAL, lalu sya coba transaksi yang k dua sukses, tapi knapa saldo sya terpotong nya dobel, sedangkan yg pertama itu statusnya GAGAL, dan sya sudh melakukan pengaduan d pusat bantuan yang ada d BRIMO tp kenapa sampai saat ini pengaduan nya masih ber setatus proses saja, jangan menyepelekan lah, memang uang nya hanya 48k mungkin kecil bagi anda tpi berharga bagi sya yg hanya kang ojol. coba tolong solusinya
18/11/2025 17:59;saya mau mengadu mengenai uang saya yang hilang pada saat mau mentransfer. Di situ tertulis eror pada saat mau mentransfer. Padahal di riwayat cuma tertulis eror ehh tau tau uang saya tiba-tiba ke tarik 200k, dari 1.500.062,00 menjadi 1.300.062,00. Saya mau meminta solusi di Sabrina malah nggak di respon. Saya meminta kejelasannya. Terima kasihğŸ™
17/11/2025 23:42;pelayanan brimo sangat memuaskan
17/11/2025 23:40;memudahkan semua transaksi tinggal klik dimana saja
17/11/2025 23:36;Aplikasi BRImo sangat membantu untuk mendapatkan informasi terbaru mengenai transaksi. Tampilan aplikasinya rapi, fiturnya mudah dipahami, dan responsnya cepat. Semoga ke depannya semakin ditingkatkan lagi agar makin bermanfaat untuk masyarakat.
17/11/2025 23:16;recommended
17/11/2025 23:14;layar putih gajelas
17/11/2025 23:10;semua jadi mudahğŸ’›
17/11/2025 23:07;mantuuulll lancar jayağŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘
17/11/2025 23:06;ğ™¨ğ™–ğ™£ğ™œğ™–ğ™© ğ™¢ğ™šğ™¢ğ™—ğ™–ğ™£ğ™©ğ™ª ğ™™ğ™ ğ™¨ğ™–ğ™–ğ™© ğ™¨ğ™šğ™¬ğ™–ğ™ ğ™©ğ™ª ğ™¬ğ™–ğ™ ğ™©ğ™ª ğ™—ğ™ªğ™©ğ™ªğ™
17/11/2025 22:57;brimo memudahkan segala urusan transaksi online
17/11/2025 22:15;sangat bagus
17/11/2025 22:14;lancar,mempermudah
17/11/2025 22:06;sangat nyaman dan bisa di percaya
17/11/2025 22:06;mudah dan nyaman
17/11/2025 21:49;memudah kan semua nya.... trmksih...
17/11/2025 21:15;lumayan
17/11/2025 19:33;sanagat memuaskan
17/11/2025 19:03;simple banget nget nget pokonya pake brimo .tq brimo
17/11/2025 18:37;Cukup mudah penggunaannya
17/11/2025 18:28;mantap
17/11/2025 18:22;aplikasi brimo eror tidak bisa di buka
16/11/2025 23:45;memuaskan amn
16/11/2025 23:42;baik
16/11/2025 23:31;telpon layanan bebas pulsanya cacad banget, masa ga kedengaran suaranya
16/11/2025 23:08;bagus
16/11/2025 23:00;saya sangat nyaman dengan brimo
16/11/2025 22:55;apknya Bagus saya suka tapi Knp Loadingnya lama terus data internetku bagus tapi pas tertulis tidak ada internet padahal dataku ada baru yang di tombol fitur tarik & stor Tunai cara pakai tarik bamana??
16/11/2025 22:43;Bagus
16/11/2025 22:22;Heran baru semalam dapat kiriman 1 juta ada notifikasinya malah eh pas dibuka saldo berkurang tiba2.
16/11/2025 21:44;"brimo kenapa sih padahal awal"" biaya adminnya 5.000 kok sekarang malah jadi 6.000. ini juga kenapa akhirÂ² susah buat login selalu ada 'selesaikan panggilan telpon dulu' padahal ngk lagi telpon sama siapaÂ². Gimana sih ini"
16/11/2025 21:39;sangat baik
16/11/2025 21:34;praktis & ekspres untuk transaksi... mantap
16/11/2025 20:42;aplikasi yg sangat membantu dalam kondisi keuangan
16/11/2025 20:31;mantap
16/11/2025 20:11;semoga g ada yg download aplikasi in.SERING KALI MELAKUKAN POTONGAN SALDO NASABAH....
16/11/2025 19:35;memudahkan
16/11/2025 18:35;sangat membantu KL tengah malam LG butuh dadakan
16/11/2025 18:15;okeeee
16/11/2025 18:12;PROSES VERIFIKASI SULIT KALI
16/11/2025 17:57;susah daftar
15/11/2025 23:50;aplikasi nya bagus ğŸ‘
15/11/2025 23:47;bgussss bngettt
15/11/2025 23:43;lopyu BRImo
15/11/2025 23:34;jelek
15/11/2025 22:24;sangat bagus
15/11/2025 22:20;Aplikasi ini sgt membantu,mempermudah segala jenis transaksi.
15/11/2025 20:19;selama. ini transaksi dgn brumo SGT memuaskan
15/11/2025 19:17;Brimo emang mantap
15/11/2025 18:43;keamanan sebisa mungkin ditambah agar tidak gmpng diakses pihak ketiga,,
15/11/2025 18:24;hadeeeh parah ,setelah verifikasi langsung keluar ,terus pas mau login username/katasandi tidak sesuai ,kan kocak
15/11/2025 18:17;banyak minus mau top up status di proses gk masuk masuk. aplikasi gk optimal.
15/11/2025 18:11;Selalu gagal buat transfer
15/11/2025 17:44;Triimakasi BRImo yg Tlah Percaya untuk Kartu Kredit dan penawara Pinjaman Dengan Bunga Sangat Rendah..Tks BRImo...
15/11/2025 17:44;"bank gak layak pakai,sudah kesekian kalinya bermasalah mulu...entah itu saldo tiba"" hilang,qris gagal terus saldo nyangkut...pokoknya ngeselin kalo pake BRI.nyesel simpen uang disini"
15/11/2025 17:43;qris gagal saldo kepotong apaan ini banyak transaksi qris gagal saldo gk balik lagi tolong dong tanggung jawabnya.
15/11/2025 17:08;kocak tranfer di batasi jamnya
15/11/2025 16:39;mantap
15/11/2025 16:35;bayar ini itu gampang pkai brimo siplah
15/11/2025 16:11;sangat bagus
14/11/2025 23:46;sangat membantu dalam segala kebutuhan keuangan
14/11/2025 23:44;maufaptr susah bget mhon do bntu
14/11/2025 23:42;gooood
14/11/2025 23:12;membantu sekalii ğŸ’œ terimakasih
14/11/2025 23:06;sangat membantu rekomendasi pakai brimo
14/11/2025 23:00;bagus
14/11/2025 22:50;alhamdulillah sangat membantu dalam mudah semua urusan transaksi ğŸ‘semoga sukses dan selalu menjadi terbaik ğŸ™
14/11/2025 22:31;bagus
14/11/2025 22:30;Pelayanan baik
14/11/2025 22:19;ok
14/11/2025 22:17;Bagus sekali
14/11/2025 22:04;iya
14/11/2025 21:45;semoga aman jg amanah bri.
14/11/2025 21:35;sangat membantu
14/11/2025 21:21;proses cepat layanan bagus
14/11/2025 20:11;sangat bagus dan membantu kita dalam proses transaksi.
14/11/2025 19:55;mudah dipahami dan mempermudah transaksi
14/11/2025 18:58;keren
14/11/2025 18:27;bank paling sampah sedunia,katanya terbaik se Indonesia tapi terburuk dan paling banyak komplain SE Indonesia banyak banget keluhan customer nya
14/11/2025 17:48;Ok
13/11/2025 23:58;saya tf 2 x ke gopay saya tidak masuk tp saldo kepotong saya komplain tp respon nya sangat lambat dan sampai sekarang saldo nya ga masuk ke akun gopay saya dan tidak balik lg ke rekening BRI saya,pihak BRI ga ada tanggung jawab nya ğŸ‘ğŸ‘ğŸ‘
13/11/2025 23:53;mantap
13/11/2025 23:40;lumayan lah ga ribet
13/11/2025 23:12;plis ini kenapa aplikasiiii ko makin ribetğŸ˜­
13/11/2025 23:09;bagus banget
13/11/2025 23:04;good
13/11/2025 23:02;sangat bagus
13/11/2025 22:55;cepat akurat
13/11/2025 22:49;mantap
13/11/2025 22:37;sangat keren dan simple
13/11/2025 22:23;brimo saya tidak bisa di buka mohon bantuan nya ğŸ™ğŸ™
13/11/2025 22:07;sangat tidak jelas
13/11/2025 22:02;saya sangat puas dengan layanan BRImo!!!!!
13/11/2025 21:44;trims brimo
13/11/2025 21:23;Pengajuan kartu kredit gak bisa ntah karena SLIK, Penghasilan, atau apa padahal semuanya aman dan saya dah percaya dengan BRI. Ngajuin aktivasi RDN gak bisa karena nama ibu gak benar padahal sesuai dengan dukcapil. alamat saya kok gak sesuai padahal buat rekening sudah sesuai dengan identitas. meskipun kami bukan nasabah prioritas paling tidak mohon di tata dengan baik data kami sebagai nasabah
13/11/2025 21:14;sudah dua kali saya nerima transfer uang tapi tidak masuk saldonya di aplikasi BRImo padahal liat di mutasi nya ada uang masuk tapi di saldonya belum masuk juga udah mah mau ngajuin pengaduan ga ada detail transaksinya lagi padahal di mutasinya jelasÂ² ada, kecewa banget sih
13/11/2025 20:13;brimo memang selalu si butuh kan mudah transfer trima kasih brimo
13/11/2025 19:57;good
12/11/2025 23:41;lebih mudah, praktis, efisien, efektif. terimakasih Brimo.
12/11/2025 23:38;Bank rakyat iyyeh ongku
12/11/2025 23:34;mantap
12/11/2025 23:33;bagus
12/11/2025 23:31;adanya aplikasi BRImo memudah aku untuk bayar tagihan..ğŸ™
12/11/2025 23:29;sangat membantu
12/11/2025 23:29;mempermudah dalam segala hal
12/11/2025 23:29;App keren mudah cepat praktis & mudah dimengerti.
12/11/2025 23:24;bagus, semoga selalu lancar pakai brimo ini.
12/11/2025 23:22;cepat,bagus, terpercaya
12/11/2025 23:15;transaksi lewat Qris,gagal ni trus saldo ngga balik lagi
12/11/2025 23:11;pancen ngeneğŸ‘
12/11/2025 23:10;Baik Sekali
12/11/2025 23:08;baik dan mudah
12/11/2025 22:59;sukses dan amanah selalu
12/11/2025 22:15;Cepat, murah, lancar ...
12/11/2025 22:15;Kenapa yah aku kan suda punya akun brimo tapi pas masukan username kok gak bisa spasi??mohon bantuannya pihak BRImo
12/11/2025 21:48;jelek dipotong trus saldonya buat apa habis uangnya transfer uang trus harus lapor mau TF baru dibuka kalau tidak tetap tidak bisa TF aneh sister bri
12/11/2025 21:31;mantap sekali, transaksi apapun jadi mudah dan instan
12/11/2025 21:11;mantep
11/11/2025 23:54;aplikasi yg sangat sangat bagus.
11/11/2025 23:51;Sangat Bermanfaat bagi sayağŸ™ğŸ˜
11/11/2025 23:50;Aplikasi aneh habis update terus bertransaksi, malah gagal tapi saldo tetep kepotong udah laporan tpi di proses terus
11/11/2025 23:48;ko sering ga bisa dibuka iaa aplikasinya,,pdahal ga ada update.an tp klo mau masuk brimo diklik kluar lg diklik kluar lg
11/11/2025 23:45;sangat bagus
11/11/2025 23:28;sangat membantu
11/11/2025 23:27;lumayan bagus
11/11/2025 23:26;brimo kenapa tidak ajukan pinjaman lagi ,,padahal semua pinjaman udah lunas ?
11/11/2025 23:23;transfer cepat,mudah dan aman
11/11/2025 23:10;sangat cepat
11/11/2025 23:01;mau login susahnya minta ampun
11/11/2025 22:29;cukup memuaskan
11/11/2025 22:22;siiiipğŸ‘ğŸ‘ğŸ‘
11/11/2025 21:58;mudah dalam penggunaanya
11/11/2025 21:35;aplikasi ini sangat membantu saya
11/11/2025 20:42;refund transaksi aja harus nunggu 14 hari, lelet amat orang juga mau pake duitnya woi
11/11/2025 19:47;lancar
11/11/2025 18:34;pelayanany bikin emosi aja INI MINTA IANG SENDIRI KAYA BEGAL HARUS DIPAKSA,ğŸ‘¹
11/11/2025 17:33;susah buat buka
11/11/2025 17:29;FAST, semoga kedepannya tidak ada gangguan/bug,
10/11/2025 23:54;knpa saya mau daftar brimo susah sekali heran aku
